Validator,PT_VERSION,2.3.0
Validator,ROCM_VERSION,6.0.0.0-91-08e5094
Validator,HIPBLASLT_VERSION,0.6.0-592518e7
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.0.0-88df9726-dirty
GemmTunableOp_float_NN,nn_4096_4096_2048,Gemm_Hipblaslt_NN_33401,0.671778
GemmTunableOp_float_NN,nn_4096_4096_1024,Gemm_Hipblaslt_NN_32803,0.353718
GemmTunableOp_float_NN,nn_4096_4096_512,Gemm_Hipblaslt_NN_32803,0.191818
GemmTunableOp_float_NN,nn_4096_4096_64,Gemm_Rocblas_68908,0.0400593
GemmTunableOp_float_NN,nn_2048_4096_4096,Gemm_Hipblaslt_NN_33401,0.652499
GemmTunableOp_float_NN,nn_2048_4096_2048,Gemm_Hipblaslt_NN_33401,0.337631
GemmTunableOp_float_NN,nn_2048_4096_512,Gemm_Rocblas_68900,0.100716
GemmTunableOp_float_NN,nn_1024_4096_4096,Gemm_Hipblaslt_NN_33349,0.340479
GemmTunableOp_float_NN,nn_1024_4096_1024,Gemm_Hipblaslt_NN_33409,0.0954177
GemmTunableOp_float_NN,nn_1024_4096_128,Gemm_Rocblas_68873,0.0184151
GemmTunableOp_float_NN,nn_1024_4096_64,Gemm_Rocblas_68871,0.0127027
GemmTunableOp_float_NN,nn_512_4096_4096,Gemm_Hipblaslt_NN_33365,0.18785
GemmTunableOp_float_NN,nn_512_4096_1024,Gemm_Rocblas_68873,0.0516928
GemmTunableOp_float_NN,nn_512_4096_128,Gemm_Rocblas_68873,0.0108635
GemmTunableOp_float_NN,nn_256_4096_4096,Gemm_Hipblaslt_NN_33167,0.110527
GemmTunableOp_float_NN,nn_256_4096_1024,Gemm_Hipblaslt_NN_33178,0.031663
GemmTunableOp_float_NN,nn_256_4096_256,Gemm_Rocblas_68886,0.011614
GemmTunableOp_float_NN,nn_256_4096_128,Gemm_Rocblas_68886,0.00801154
GemmTunableOp_float_NN,nn_128_4096_512,Gemm_Rocblas_68915,0.0132211
GemmTunableOp_float_NN,nn_128_4096_64,Gemm_Rocblas_68888,0.00804154
GemmTunableOp_float_NN,nn_64_4096_4096,Gemm_Hipblaslt_NN_33146,0.0425015
GemmTunableOp_float_NN,nn_64_4096_2048,Gemm_Hipblaslt_NN_34012,0.0265446
GemmTunableOp_float_NN,nn_64_4096_1024,Gemm_Rocblas_68913,0.0158199
GemmTunableOp_float_NN,nn_64_4096_512,Default,0.0103423
GemmTunableOp_float_NN,nn_64_4096_64,Gemm_Rocblas_68906,0.00645715
GemmTunableOp_float_NN,nn_4096_2048_4096,Gemm_Hipblaslt_NN_34056,0.661525
GemmTunableOp_float_NN,nn_4096_2048_2048,Gemm_Hipblaslt_NN_34056,0.340574
GemmTunableOp_float_NN,nn_4096_2048_1024,Gemm_Hipblaslt_NN_34056,0.182176
GemmTunableOp_float_NN,nn_4096_2048_512,Gemm_Rocblas_68871,0.103202
GemmTunableOp_float_NN,nn_4096_2048_256,Gemm_Rocblas_68908,0.0580696
GemmTunableOp_float_NN,nn_4096_2048_128,Gemm_Rocblas_68870,0.0342711
GemmTunableOp_float_NN,nn_2048_2048_4096,Gemm_Hipblaslt_NN_33412,0.338894
GemmTunableOp_float_NN,nn_512_4096_512,Gemm_Rocblas_68874,0.0286489
GemmTunableOp_float_NN,nn_2048_2048_512,Gemm_Rocblas_68871,0.0504268
GemmTunableOp_float_NN,nn_4096_4096_4096,Gemm_Hipblaslt_NN_34056,1.29437
GemmTunableOp_float_NN,nn_2048_2048_256,Gemm_Rocblas_68871,0.0292006
GemmTunableOp_float_NN,nn_2048_2048_128,Gemm_Rocblas_68873,0.0181735
GemmTunableOp_float_NN,nn_1024_2048_4096,Gemm_Rocblas_68873,0.188847
GemmTunableOp_float_NN,nn_1024_2048_2048,Gemm_Rocblas_68873,0.0975186
GemmTunableOp_float_NN,nn_1024_2048_128,Gemm_Rocblas_68873,0.0112119
GemmTunableOp_float_NN,nn_128_4096_256,Default,0.00871194
GemmTunableOp_float_NN,nn_1024_2048_64,Gemm_Rocblas_68899,0.00826754
GemmTunableOp_float_NN,nn_512_2048_4096,Gemm_Hipblaslt_NN_33084,0.110352
GemmTunableOp_float_NN,nn_512_2048_2048,Gemm_Rocblas_68899,0.0570944
GemmTunableOp_float_NN,nn_512_2048_256,Gemm_Rocblas_68899,0.0108818
GemmTunableOp_float_NN,nn_512_2048_64,Gemm_Rocblas_68882,0.00800475
GemmTunableOp_float_NN,nn_256_2048_1024,Gemm_Rocblas_68877,0.0209011
GemmTunableOp_float_NN,nn_256_2048_512,Gemm_Rocblas_68907,0.0123963
GemmTunableOp_float_NN,nn_256_2048_128,Gemm_Rocblas_68913,0.00713914
GemmTunableOp_float_NN,nn_128_2048_4096,Gemm_Hipblaslt_NN_33056,0.0409504
GemmTunableOp_float_NN,nn_128_2048_2048,Gemm_Hipblaslt_NN_33000,0.0253706
GemmTunableOp_float_NN,nn_1024_128_256,Gemm_Rocblas_68876,0.00683397
GemmTunableOp_float_NN,nn_128_4096_2048,Gemm_Rocblas_68913,0.0354425
GemmTunableOp_float_NN,nn_128_128_2048,Gemm_Hipblaslt_NN_32627,0.0146015
GemmTunableOp_float_NN,nn_256_256_256,Gemm_Rocblas_68875,0.00651997
GemmTunableOp_float_NN,nn_512_64_256,Gemm_Rocblas_68907,0.00645317
GemmTunableOp_float_NN,nn_256_2048_2048,Gemm_Rocblas_68907,0.035253
GemmTunableOp_float_NN,nn_128_128_4096,Gemm_Hipblaslt_NN_33009,0.0153511
GemmTunableOp_float_NN,nn_256_512_2048,Gemm_Hipblaslt_NN_33006,0.0198999
GemmTunableOp_float_NN,nn_4096_64_2048,Gemm_Hipblaslt_NN_34012,0.0267163
GemmTunableOp_float_NN,nn_128_256_512,Gemm_Rocblas_68875,0.00919155
GemmTunableOp_float_NN,nn_256_256_4096,Gemm_Hipblaslt_NN_33075,0.0197711
GemmTunableOp_float_NN,nn_256_1024_512,Gemm_Rocblas_68875,0.0102159
GemmTunableOp_float_NN,nn_512_1024_2048,Gemm_Hipblaslt_NN_34012,0.0324914
GemmTunableOp_float_NN,nn_128_256_1024,Gemm_Hipblaslt_NN_32978,0.0122019
GemmTunableOp_float_NN,nn_64_1024_256,Gemm_Rocblas_68903,0.00653197
GemmTunableOp_float_NN,nn_2048_2048_1024,Gemm_Hipblaslt_NN_33172,0.0941233
GemmTunableOp_float_NN,nn_64_64_256,Gemm_Rocblas_68875,0.00665356
GemmTunableOp_float_NN,nn_2048_2048_64,Gemm_Rocblas_68871,0.0126283
GemmTunableOp_float_NN,nn_4096_64_4096,Gemm_Hipblaslt_NN_33100,0.0430985
GemmTunableOp_float_NN,nn_1024_1024_4096,Gemm_Hipblaslt_NN_33084,0.110175
GemmTunableOp_float_NN,nn_64_256_128,Gemm_Rocblas_68875,0.00602796
GemmTunableOp_float_NN,nn_128_256_256,Gemm_Rocblas_68903,0.00646277
GemmTunableOp_float_NN,nn_4096_128_256,Default,0.00862395
GemmTunableOp_float_NN,nn_512_4096_2048,Gemm_Hipblaslt_NN_33336,0.0992125
GemmTunableOp_float_NN,nn_128_4096_128,Gemm_Rocblas_68903,0.00704395
GemmTunableOp_float_NN,nn_2048_1024_2048,Gemm_Hipblaslt_NN_33102,0.0981451
GemmTunableOp_float_NN,nn_512_256_2048,Gemm_Hipblaslt_NN_33074,0.0205855
GemmTunableOp_float_NN,nn_4096_128_64,Gemm_Rocblas_68892,0.00788356
GemmTunableOp_float_NN,nn_256_2048_4096,Gemm_Hipblaslt_NN_33758,0.0644139
GemmTunableOp_float_NN,nn_2048_128_2048,Gemm_Hipblaslt_NN_34012,0.0271335
GemmTunableOp_float_NN,nn_128_256_64,Gemm_Rocblas_68885,0.00778917
GemmTunableOp_float_NN,nn_1024_64_128,Gemm_Rocblas_68912,0.00626717
GemmTunableOp_float_NN,nn_128_4096_4096,Gemm_Hipblaslt_NN_33588,0.0643373
GemmTunableOp_float_NN,nn_2048_128_512,Gemm_Rocblas_68913,0.0102628
GemmTunableOp_float_NN,nn_2048_1024_1024,Gemm_Rocblas_68873,0.0497449
GemmTunableOp_float_NN,nn_512_4096_256,Gemm_Rocblas_68874,0.0178595
GemmTunableOp_float_NN,nn_2048_1024_256,Gemm_Rocblas_68874,0.0180659
GemmTunableOp_float_NN,nn_64_256_64,Gemm_Rocblas_68879,0.00790916
GemmTunableOp_float_NN,nn_1024_4096_2048,Gemm_Hipblaslt_NN_33349,0.177683
GemmTunableOp_float_NN,nn_2048_128_64,Gemm_Rocblas_68907,0.00797156
GemmTunableOp_float_NN,nn_512_128_512,Gemm_Rocblas_68913,0.00916996
GemmTunableOp_float_NN,nn_1024_128_1024,Gemm_Hipblaslt_NN_33000,0.0148635
GemmTunableOp_float_NN,nn_64_128_4096,Gemm_Hipblaslt_NN_32627,0.0153267
GemmTunableOp_float_NN,nn_64_256_512,Gemm_Rocblas_68875,0.00910915
GemmTunableOp_float_NN,nn_1024_128_128,Gemm_Rocblas_68913,0.00628557
GemmTunableOp_float_NN,nn_512_256_64,Gemm_Rocblas_68905,0.00783436
GemmTunableOp_float_NN,nn_1024_512_2048,Gemm_Rocblas_68913,0.0353638
GemmTunableOp_float_NN,nn_4096_2048_64,Gemm_Rocblas_68898,0.0228656
GemmTunableOp_float_NN,nn_128_2048_128,Gemm_Rocblas_68885,0.00624676
GemmTunableOp_float_NN,nn_1024_128_64,Gemm_Rocblas_68877,0.00779796
GemmTunableOp_float_NN,nn_512_128_64,Gemm_Rocblas_68903,0.00778956
GemmTunableOp_float_NN,nn_512_128_4096,Gemm_Hipblaslt_NN_33075,0.0195059
GemmTunableOp_float_NN,nn_256_256_2048,Gemm_Hipblaslt_NN_33075,0.0155111
GemmTunableOp_float_NN,nn_2048_4096_64,Gemm_Rocblas_68871,0.0227847
GemmTunableOp_float_NN,nn_256_512_4096,Gemm_Hipblaslt_NN_33020,0.0293902
GemmTunableOp_float_NN,nn_512_128_2048,Gemm_Hipblaslt_NN_33076,0.0149287
GemmTunableOp_float_NN,nn_256_128_2048,Gemm_Hipblaslt_NN_33329,0.0140535
GemmTunableOp_float_NN,nn_512_128_256,Gemm_Rocblas_68875,0.00660996
GemmTunableOp_float_NN,nn_64_64_1024,Gemm_Hipblaslt_NN_32978,0.0125707
GemmTunableOp_float_NN,nn_512_64_512,Gemm_Rocblas_68913,0.00912236
GemmTunableOp_float_NN,nn_64_512_1024,Gemm_Hipblaslt_NN_33000,0.0114927
GemmTunableOp_float_NN,nn_512_2048_1024,Gemm_Rocblas_68894,0.0329302
GemmTunableOp_float_NN,nn_4096_1024_64,Gemm_Rocblas_68871,0.0127195
GemmTunableOp_float_NN,nn_1024_256_64,Gemm_Rocblas_68881,0.00792796
GemmTunableOp_float_NN,nn_256_128_256,Gemm_Rocblas_68907,0.00648676
GemmTunableOp_float_NN,nn_64_2048_2048,Gemm_Hipblaslt_NN_33130,0.0211103
GemmTunableOp_float_NN,nn_256_128_64,Gemm_Rocblas_68894,0.00791276
GemmTunableOp_float_NN,nn_2048_1024_4096,Gemm_Hipblaslt_NN_33102,0.188045
GemmTunableOp_float_NN,nn_128_128_1024,Gemm_Hipblaslt_NN_32978,0.0124095
GemmTunableOp_float_NN,nn_1024_2048_1024,Gemm_Rocblas_68873,0.04963
GemmTunableOp_float_NN,nn_512_512_2048,Gemm_Hipblaslt_NN_34012,0.0267095
GemmTunableOp_float_NN,nn_512_64_2048,Gemm_Hipblaslt_NN_32629,0.0148783
GemmTunableOp_float_NN,nn_1024_128_512,Gemm_Rocblas_68913,0.00952075
GemmTunableOp_float_NN,nn_1024_512_64,Gemm_Rocblas_68905,0.00791596
GemmTunableOp_float_NN,nn_128_64_1024,Gemm_Hipblaslt_NN_32978,0.0122243
GemmTunableOp_float_NN,nn_128_512_128,Gemm_Rocblas_68907,0.00619197
GemmTunableOp_float_NN,nn_512_64_1024,Gemm_Hipblaslt_NN_32978,0.0123547
GemmTunableOp_float_NN,nn_64_64_512,Gemm_Rocblas_68875,0.00897316
GemmTunableOp_float_NN,nn_256_512_1024,Gemm_Hipblaslt_NN_33000,0.0129315
GemmTunableOp_float_NN,nn_128_1024_256,Gemm_Rocblas_68875,0.00683756
GemmTunableOp_float_NN,nn_128_64_64,Gemm_Rocblas_68879,0.00769956
GemmTunableOp_float_NN,nn_64_128_128,Gemm_Rocblas_68903,0.00637677
GemmTunableOp_float_NN,nn_64_2048_64,Gemm_Rocblas_68880,0.00674276
GemmTunableOp_float_NN,nn_256_64_256,Gemm_Rocblas_68875,0.00669277
GemmTunableOp_float_NN,nn_128_128_512,Gemm_Rocblas_68875,0.00904435
GemmTunableOp_float_NN,nn_256_512_256,Gemm_Rocblas_68903,0.00679996
GemmTunableOp_float_NN,nn_256_4096_2048,Gemm_Rocblas_68886,0.0593577
GemmTunableOp_float_NN,nn_4096_512_4096,Gemm_Rocblas_68873,0.200039
GemmTunableOp_float_NN,nn_64_256_1024,Gemm_Hipblaslt_NN_32978,0.0121599
GemmTunableOp_float_NN,nn_64_64_64,Gemm_Rocblas_68875,0.00610998
GemmTunableOp_float_NN,nn_1024_64_64,Gemm_Rocblas_68879,0.00785716
GemmTunableOp_float_NN,nn_256_64_2048,Gemm_Hipblaslt_NN_33329,0.0139799
GemmTunableOp_float_NN,nn_4096_64_1024,Gemm_Rocblas_68913,0.0158607
GemmTunableOp_float_NN,nn_2048_4096_128,Gemm_Rocblas_68870,0.0336189
GemmTunableOp_float_NN,nn_2048_128_1024,Gemm_Rocblas_68913,0.0159355
GemmTunableOp_float_NN,nn_4096_256_256,Gemm_Rocblas_68886,0.0115162
GemmTunableOp_float_NN,nn_128_512_2048,Gemm_Hipblaslt_NN_33008,0.0144599
GemmTunableOp_float_NN,nn_512_64_64,Gemm_Rocblas_68887,0.00770796
GemmTunableOp_float_NN,nn_256_256_64,Gemm_Rocblas_68881,0.00785116
GemmTunableOp_float_NN,nn_4096_64_512,Gemm_Rocblas_68913,0.0102727
GemmTunableOp_float_NN,nn_256_64_64,Gemm_Rocblas_68880,0.00770436
GemmTunableOp_float_NN,nn_4096_64_64,Gemm_Rocblas_68888,0.00734157
GemmTunableOp_float_NN,nn_1024_256_256,Gemm_Rocblas_68875,0.00741236
GemmTunableOp_float_NN,nn_64_128_256,Gemm_Rocblas_68903,0.00657437
GemmTunableOp_float_NN,nn_128_64_4096,Gemm_Hipblaslt_NN_33329,0.0154195
GemmTunableOp_float_NN,nn_1024_64_2048,Gemm_Hipblaslt_NN_33076,0.0150391
GemmTunableOp_float_NN,nn_256_1024_128,Gemm_Rocblas_68907,0.00632637
GemmTunableOp_float_NN,nn_1024_256_4096,Gemm_Hipblaslt_NN_33583,0.0438034
GemmTunableOp_float_NN,nn_4096_128_128,Gemm_Rocblas_68913,0.00699316
GemmTunableOp_float_NN,nn_2048_512_1024,Gemm_Hipblaslt_NN_33178,0.0324452
GemmTunableOp_float_NN,nn_64_64_4096,Gemm_Hipblaslt_NN_33328,0.0140787
GemmTunableOp_float_NN,nn_1024_64_256,Gemm_Rocblas_68903,0.00654236
GemmTunableOp_float_NN,nn_128_256_4096,Gemm_Hipblaslt_NN_33009,0.0153527
GemmTunableOp_float_NN,nn_64_512_256,Gemm_Rocblas_68875,0.00658916
GemmTunableOp_float_NN,nn_512_64_128,Gemm_Rocblas_68907,0.00646757
GemmTunableOp_float_NN,nn_256_2048_64,Gemm_Rocblas_68880,0.00791034
GemmTunableOp_float_NN,nn_512_256_128,Gemm_Rocblas_68894,0.00634156
GemmTunableOp_float_NN,nn_2048_64_64,Gemm_Rocblas_68916,0.00787757
